name,merchant_abn,eariningmean2015-2016,eariningmean2016-2017,eariningmean2017-2018,eariningmean2018-2019,eariningmean2019-2020,earners2015-2016,earners2016-2017,earners2017-2018,earners2018-2019,earners2019-2020,earningmedian2015-2016,earningmedian2016-2017,earningmedian2017-2018,earningmedian2018-2019,earningmedian2019-2020,earningsum2015-2016,earningsum2016-2017,earningsum2017-2018,earningsum2018-2019,earningsum2019-2020
A Ultricies Institute,57471217202,34644.299,35617.414,36089.054,37190.626,36929.855,3113.455,3221.795,3295.078,3351.677,3386.684,27464.631,28109.128,28852.62,29895.292,29959.193,186143672.417,196093780.82,204828521.69,214208401.624,217919315.821
A Ultricies Ltd,66015997670,30640.868,31438.56,32281.917,32430.377,32586.651,2459.154,2538.414,2592.265,2642.038,2668.22,25409.675,25870.559,26887.63,27350.053,27457.067,134609361.119,141303837.704,148452045.937,153249709.521,156269379.48
Ac Arcu Inc.,18135911314,37701.601,38911.563,39548.482,39411.82,40096.465,3471.452,3594.976,3658.064,3729.751,3773.238,30720.96,31460.527,32463.744,33300.648,33671.255,194853382.326,205027025.655,214077730.842,223885550.979,230435465.848
Ac Arcu Nunc LLC,87070475031,34232.242,35321.032,36252.127,37506.534,36984.979,3258.933,3375.915,3465.39,3531.813,3574.802,27409.988,28180.414,29153.158,30188.406,30060.987,184370066.404,195288905.099,205975535.379,215409791.804,219343276.566
Ac Company,26824240795,34327.422,35309.257,35873.157,37017.576,36935.696,3098.516,3207.359,3282.5,3347.298,3385.417,27642.99,28254.641,29158.015,30254.478,30444.28,181249916.558,191382923.009,199998596.325,210144737.493,214781781.97
Ac Consulting,68699353442,33913.372,34873.99,35490.967,36433.419,36541.134,3007.282,3111.04,3180.611,3234.345,3268.891,26910.654,27498.743,28341.283,29290.961,29436.385,177714627.52,187224542.027,195883798.787,204496794.918,209223244.146
Ac Corp.,74449830326,34697.299,35742.463,36135.364,37235.84,37080.866,3093.903,3201.985,3274.222,3330.187,3365.504,27618.302,28275.231,29016.568,30070.496,30211.676,182213364.077,192261589.704,200649014.097,209929714.94,213875911.172
Ac Corporation,87178039859,34329.907,35620.137,35838.598,36920.912,36388.302,2939.766,3044.58,3105.774,3154.196,3185.068,27318.046,28089.202,28807.136,29910.248,29829.044,175620141.009,185746049.606,192888183.778,201154800.134,204188326.518
Ac Eleifend Corp.,75034515922,34809.124,35816.114,36284.273,37351.729,37069.741,3092.596,3199.734,3271.243,3327.196,3363.829,27629.353,28295.616,29066.306,30091.443,30153.754,183475467.656,193350910.694,201898453.262,211107286.598,214789399.495
Ac Eleifend Inc.,89023030428,27312.019,27544.411,28124.91,28465.264,28970.166,3196.584,3282.746,3348.689,3396.597,3409.775,22223.884,22382.611,23047.802,23498.673,23902.105,186437420.741,192658476.903,200942735.358,207639075.226,212608855.174
Ac Eleifend PC,29166700531,14450.826,15405.09,16355.587,15925.006,17206.761,1137.858,1196.288,1222.39,1245.535,1252.515,12138.927,12779.458,13518.564,13733.324,14298.832,61889761.994,67922062.276,73230882.769,72768176.725,77843127.609
Ac Eleifend Vitae LLP,53829845678,35909.647,37017.363,37124.881,36004.662,35724.723,2889.308,2980.011,3059.714,3110.005,3139.96,29195.768,29891.602,30388.265,30325.728,31040.979,163944933.563,174440384.794,180434284.01,180283221.262,180537573.578
Ac Fermentum Associates,60196678179,35829.446,37402.108,37330.003,37425.868,37201.021,2733.787,2835.424,2888.821,2923.763,2946.885,28612.179,29462.671,30102.506,30793.01,30941.44,154903840.088,164820843.529,169711323.839,174928420.161,176962010.902
Ac Fermentum Company,34455283435,52292.615,53715.077,55086.671,57407.015,59387.852,7420.104,7812.424,8011.363,8157.336,8154.68,44896.922,45970.19,47577.125,49703.671,51188.993,502344696.172,548743904.941,577672811.439,614960011.054,636803440.281
Ac Fermentum LLP,24094430920,34153.11,35114.861,35741.647,36793.501,36522.368,3066.664,3174.056,3245.041,3302.303,3337.685,27148.212,27797.316,28684.858,29698.425,29753.179,181115992.107,190993824.563,199976123.324,209342526.687,212951735.901
Ac Fermentum Vel LLP,17435313552,34881.442,35865.238,36289.187,37761.596,36388.773,2781.479,2864.264,2909.18,2966.617,2987.301,28198.268,28977.059,29913.297,30928.986,30876.488,156167141.201,163950604.928,169379664.966,179513605.105,177793780.949
Ac Feugiat LLC,30403523748,36778.991,38174.315,38632.383,39648.593,39293.251,3193.708,3326.717,3393.469,3447.994,3482.944,28978.302,29756.318,30647.586,31522.784,31605.79,192656851.569,205839192.018,214097788.793,223543605.091,226549108.336
Ac Feugiat LLP,19836429553,34566.602,35614.45,35945.136,37010.811,36690.271,3040.542,3147.559,3218.673,3271.311,3307.851,27477.96,28132.207,28844.448,29871.056,29929.514,178923766.838,188912628.734,196707187.972,205778500.192,209228933.862
Ac Feugiat Non Consulting,26500650326,35394.827,36514.293,37389.181,37842.176,38792.338,3605.451,3721.14,3793.147,3845.933,3887.886,28241.582,29056.831,30073.54,30776.427,31503.399,204904915.654,216496850.534,227342183.789,234842424.652,242264387.734
Ac Foundation,24993385051,32116.792,32922.143,33570.62,34486.293,34773.097,2999.846,3096.98,3167.483,3222.857,3258.905,25744.83,26318.015,27098.83,28022.494,28288.266,173677341.179,181641675.095,190183938.402,198591342.714,203267271.775
Ac Inc.,91062920626,25436.415,27841.93,28532.709,27395.811,29292.72,2350.252,2402.265,2446.424,2472.928,2496.421,21510.793,22867.067,24000.592,23903.953,24879.221,119319635.724,128928628.678,135932475.358,135930037.035,145353133.617
Ac Industries,77071952077,34907.592,35865.15,36257.459,37182.335,37432.117,3052.311,3134.195,3204.719,3251.579,3288.503,27322.459,27981.201,28727.712,29753.468,29994.587,184110528.239,191964785.297,199497057.385,207936208.744,212283232.546
Ac Institute,62773208456,34815.89,35855.077,36266.199,37365.725,37122.752,3105.623,3213.632,3287.418,3345.45,3382.248,27643.172,28312.598,29055.322,30104.105,30185.118,184392923.462,194537278.371,202916910.042,212456658.677,216241921.184
Ac Ipsum Foundation,99467302626,34615.438,35590.779,35947.712,37149.31,37037.14,3055.115,3161.608,3231.9,3287.462,3321.887,27457.746,28078.437,28801.101,29884.598,29991.647,182428840.399,192476395.12,200597874.802,210238553.321,214095453.115
Ac Ipsum LLC,80551528183,34601.952,35598.643,35968.941,37080.191,36805.935,3102.52,3209.467,3281.79,3337.935,3375.116,27524.657,28191.727,28901.386,29972.071,30050.315,183597799.136,193502031.008,201944880.069,211198692.1,214958013.723
Ac LLC,36291259608,36568.137,37657.813,38232.305,39744.953,39226.535,3436.069,3545.156,3618.912,3675.729,3713.134,28610.833,29310.499,30115.716,31195.46,31159.69,213009146.422,223727788.32,233247706.799,243870348.318,246954408.507
Ac LLP,54509096655,35610.249,36583.331,36861.343,38050.369,37176.324,3184.078,3296.416,3372.502,3426.327,3464.564,27644.547,28240.003,28944.541,30069.685,29742.117,198030129.333,208824245.94,217166389.557,226795898.467,229192738.351
Ac Limited,74019238521,34355.174,35347.444,35808.627,36842.802,36651.543,3089.932,3196.967,3270.618,3328.086,3364.897,27320.187,27969.678,28741.164,29749.297,29858.236,183050415.897,192917970.803,201579782.02,210808670.944,214760256.031
Ac Ltd,54790190524,35669.132,36474.423,37698.664,38991.898,40412.67,3506.322,3698.652,3852.471,3965.346,4042.908,28324.602,28717.371,29860.59,30936.968,31724.451,191902988.055,204929537.697,220233823.273,233344405.594,243435148.016
Ac Mattis Institute,25499263184,41225.445,42342.985,42554.371,44872.643,43884.975,3574.275,3694.871,3779.102,3832.544,3872.331,32369.043,32993.398,33817.725,35317.773,35073.486,221568382.554,231956959.68,240774463.633,253691053.933,256605808.019
Ac Mattis Limited,13663374533,35668.732,36840.472,37138.508,38095.113,37810.588,3104.899,3210.951,3282.958,3338.333,3379.984,28213.66,29041.462,29744.913,30762.323,30825.349,188691850.962,198709581.912,206870820.652,215900733.077,219803494.353
Ac Mattis Ltd,38807802363,33599.76,34609.529,35167.31,36110.474,36227.928,3168.957,3275.818,3351.697,3412.519,3452.656,26830.347,27467.115,28268.625,29210.563,29514.313,184901141.612,195249675.161,204036558.276,213217864.932,217754095.269
Ac Mattis Semper Corporation,34322206505,38148.754,39428.434,40271.566,41624.448,41388.609,3485.195,3614.053,3688.214,3758.861,3791.509,30012.645,30612.386,31687.748,32818.651,32741.279,208659325.138,220610453.206,230997140.886,243751932.338,248141253.541
Ac Mattis Velit LLP,77909777861,35493.344,36507.638,36586.1,38464.112,37302.851,3134.003,3235.577,3299.618,3330.109,3366.501,27613.097,28308.951,29143.004,30251.841,29926.461,185736125.336,192540756.09,202011529.282,209343640.815,211887325.937
Ac Metus Corporation,24769745549,34964.896,35970.699,36516.422,37569.973,37468.805,3141.803,3252.615,3327.562,3387.218,3422.863,27656.483,28335.91,29137.082,30159.758,30314.979,187767127.014,198012048.649,207109971.291,216635831.453,220802225.396
Ac Metus Industries,68289707002,34066.478,35063.648,35429.022,36540.309,36227.364,3018.654,3131.449,3209.136,3269.635,3306.355,26999.931,27635.538,28348.35,29353.032,29413.962,179660365.614,190029921.568,198581488.178,208316744.038,211838260.614
Ac Metus Vitae Company,63937753588,35392.239,36973.692,37413.966,37553.199,37541.227,3093.854,3220.489,3297.922,3357.881,3397.188,28249.701,29272.941,30044.659,30823.224,31129.873,184915019.947,196441624.62,204964600.155,212721546.087,217153144.237
Ac Mi Corp.,11093673306,35259.631,36452.481,36962.005,38039.245,37528.092,3035.874,3143.827,3212.475,3266.097,3299.567,27987.028,28723.237,29557.156,30542.716,30516.094,180061447.924,190626076.923,199250479.755,208107343.804,210874923.621
Ac Mi Eleifend Limited,59417171491,30886.705,31895.019,33114.756,34768.334,34493.216,2538.309,2630.941,2705.296,2766.582,2793.965,24703.192,25480.758,26389.413,27641.026,27725.981,142231255.057,150989979.328,160395965.487,171135188.281,173151623.075
Ac Mi LLC,88106318416,35815.09,37056.177,37866.502,38800.517,38429.547,3182.475,3287.969,3353.026,3406.907,3434.622,28920.149,29627.023,30623.104,31478.276,31557.013,177394113.369,188802470.231,196900862.622,205630211.678,208140248.91
Ac Orci Industries,13066244467,33961.341,35064.847,35814.909,36910.442,36743.186,3269.042,3383.833,3464.992,3523.997,3560.153,27126.98,27766.477,28552.193,29421.111,29727.692,207479423.447,219516132.925,231257587.018,243167294.57,247386439.748
Ac Orci Ltd,49153780138,34875.326,36123.204,37168.336,37957.692,39112.817,3094.691,3185.242,3248.461,3283.615,3300.967,28287.578,28981.08,30010.975,30956.841,31557.515,187372171.536,198522563.357,208847749.198,218085670.439,221958671.394
Ac Orci Ut Corporation,44828910341,33276.435,34434.755,34841.365,36249.561,35465.833,2934.861,3035.848,3099.461,3150.1,3187.863,26380.473,27037.12,27767.132,28915.798,28726.718,176077623.215,186218277.636,193428584.94,204157552.981,206576225.594
Ac Orci Ut Foundation,84478592825,39662.233,40516.464,40909.228,41656.954,42669.5,3451.426,3600.253,3735.364,3811.248,3837.205,31521.432,31825.434,32740.593,33852.167,34035.975,204791197.35,217050642.431,229468705.161,241352070.639,247740653.437
Ac Orci Ut Industries,35927874515,35026.146,36002.611,36470.405,37647.186,37365.358,3119.148,3227.985,3299.69,3354.665,3390.486,27771.309,28424.507,29189.07,30265.319,30317.41,186785163.137,196854180.222,205359964.756,214958326.61,218610031.018
Ac PC,14042321810,36060.42,36982.515,36986.845,38398.055,37373.309,3230.081,3359.251,3444.225,3501.121,3531.633,27816.037,28450.667,29080.75,30210.557,30003.046,193282755.754,204504427.377,213050666.941,223163784.656,224459455.033
Ac Risus Associates,17684250719,34202.321,35141.249,35631.008,36696.655,36274.79,3050.567,3147.45,3215.78,3271.041,3304.686,27291.329,27961.714,28743.738,29755.786,29752.193,179871733.772,188882269.47,197152770.583,206293780.896,209501117.471
Ac Risus Morbi Industries,39354019183,30217.067,31173.556,31850.672,33177.142,32327.889,2750.939,2829.608,2886.105,2938.54,2978.129,24228.719,24942.344,25640.307,26522.76,26430.189,155658271.934,163220258.72,170793961.643,179933725.432,181306257.657
Ac Sem Ut Company,41271931352,34413.972,35396.133,35882.001,36971.984,36743.933,3048.217,3150.663,3220.773,3272.845,3306.118,27261.812,27900.864,28655.916,29680.358,29763.283,182075188.498,191793558.017,200360857.703,209409345.926,212960836.03
Ac Turpis Associates,57093429717,32179.954,33235.673,33757.642,34788.691,34699.069,2904.553,3004.103,3072.708,3122.135,3153.241,25855.198,26565.981,27329.331,28293.706,28459.952,169283714.303,179098778.854,186903412.707,195616776.187,199322882.592
Ac Turpis Egestas Associates,83045786081,33214.942,33849.402,34461.921,35278.044,35360.239,2964.617,3065.061,3130.948,3181.609,3218.829,26678.939,27146.492,27925.139,28758.532,28949.801,174577624.929,182472981.022,190767383.793,198832598.843,203294286.675
Ac Turpis Egestas Corp.,18440845368,35299.356,36478.375,37332.247,38381.967,38179.0,3361.834,3478.182,3552.709,3610.636,3644.327,28262.113,28980.938,29940.77,30942.173,31045.053,204288946.464,216614980.897,227538327.735,237157677.701,241225925.742
Ac Turpis Egestas PC,49758515423,34803.282,35783.697,36226.806,37321.186,37102.141,3136.882,3247.461,3320.504,3377.568,3415.593,27543.463,28190.834,28954.625,29999.21,30102.591,187457087.84,197451227.225,206001979.713,215516934.839,219463606.094
Ac Turpis Inc.,51221851716,35345.873,36475.893,36879.059,38035.301,37668.293,3167.034,3281.524,3358.332,3414.945,3442.105,27649.097,28362.755,29146.521,30112.546,30204.863,190349094.579,201363732.161,210086316.886,220054320.516,222944127.81
Ac Urna Company,86681981623,37455.671,39120.552,39925.416,40137.293,40066.146,3579.01,3688.796,3753.379,3805.569,3841.051,29995.26,31156.206,32247.153,32996.934,33172.748,200714441.789,211486579.945,220229719.428,227013553.604,231377390.028
Ac Urna Consulting,86710922099,34712.049,35771.594,36196.928,37206.927,37056.782,3120.995,3231.177,3307.039,3362.421,3397.808,27578.496,28259.553,29002.339,30012.666,30125.119,185476507.019,195664820.193,204119144.028,213386743.196,217373188.382
Ac Urna Limited,97206517936,36336.681,37286.159,39778.835,38156.511,38526.753,2996.547,3105.413,3143.284,3155.197,3168.512,27261.91,28344.616,30097.877,30047.441,30260.645,190546738.605,192948176.267,211161844.494,202895435.235,214244722.87
Ac Urna PC,45151159881,35994.141,37042.749,37617.03,38656.536,38334.437,3150.064,3256.0,3328.406,3382.85,3419.799,28348.665,29037.549,29848.936,30847.07,30874.442,189341881.123,199557138.923,208408872.383,217558828.91,221032101.107
Ac Urna Ut PC,15359085759,34748.417,35767.936,36172.249,37174.165,36922.081,3087.305,3197.119,3270.598,3326.371,3360.313,27587.936,28265.836,29045.473,30042.977,30122.39,184640683.863,194873894.829,203406558.705,212582054.786,216278381.169
Accumsan Company,39906633476,39902.836,41310.01,41439.853,42844.62,42913.376,4025.469,4131.524,4196.62,4230.604,4258.9,29420.73,29757.009,30446.821,31559.797,32010.382,293080938.043,311034478.152,315110397.017,329581633.035,330544375.586
Accumsan Convallis Company,39896913161,34951.336,35994.084,36407.351,37455.21,37151.09,3070.037,3175.189,3243.856,3296.593,3330.221,27723.132,28408.685,29172.066,30197.233,30253.297,182425451.099,192433832.969,200613480.42,209490476.787,212767303.122
