name,merchant_abn,revenue_level,take_rate,industry_tags,MappedIndustry
Ut Aliquam Corp.,12543580354,b,3.78,shoe,B
Eros Corporation,12578813079,a,6.29,cable satellite pay television radio,K
Maecenas Mi Felis Limited,12710873213,b,5.04,health beauty spas,N
Senectus Foundation,12711807314,c,1.5,health beauty spas,N
Tincidunt Aliquam Limited,12741443840,a,5.55,equipment tool furniture appliance rent al leasing,S
At Pretium Corp.,12771097467,a,6.95,motor vehicle new parts,H
Purus Inc.,12840456630,a,6.32,books periodicals newspapers,G
Nec Enim Company,12847992240,a,5.9,computer programming data processing integrated systems design,C
Vestibulum Ut Eros Corporation,12870663624,a,6.78,gift card novelty souvenir,P
In Molestie Limited,12888399565,b,4.25,bicycle,Y
Consectetuer Euismod Inc.,12899341959,b,3.81,bicycle,Y
Amet Orci Industries,12927607277,d,0.83,tent awning,X
Nunc Risus Company,12959550150,b,3.35,books periodicals newspapers,G
Nibh Lacinia Foundation,12983555508,b,5.09,jewelry watch clock silverware,A
Sit Amet Ltd,13041890826,b,4.33,music musical instruments pianos sheet music,M
Risus Limited,13061606045,c,3.09,artist supply craft,E
Ac Orci Industries,13066244467,a,5.69,stationery office printing writing paper,D
Felis Eget Industries,13067850740,a,5.52,lawn garden supply outlets including nurseries,W
Enim Diam Vel Industries,13086571368,c,1.88,computer programming data processing integrated systems design,C
Dis Parturient Corporation,13093581573,e,0.24,gift card novelty souvenir,P
Litora Torquent Limited,13103397121,b,3.79,watch clock jewelry repair,V
Sem Vitae PC,13106608471,a,6.7,health beauty spas,N
Luctus Limited,13108046922,b,3.76,florists nursery stock flowers,U
Placerat Cras Incorporated,13118172970,b,4.57,gift card novelty souvenir,P
Sem Egestas Blandit Limited,13120157976,a,6.83,antique repairs restoration,R
Pede Nec Incorporated,13136513766,b,3.2,digital goods books movies music,F
Metus LLC,13159730941,a,5.88,artist supply craft,E
Convallis Erat Limited,13248824465,b,4.99,furniture home furnishings equipment manufacturers except appliances,T
In Aliquet Inc.,13255205539,a,6.26,shoe,B
Leo In Incorporated,13272374672,a,6.21,digital goods books movies music,F
Purus Gravida Sagittis Inc.,13285958344,a,5.65,gift card novelty souvenir,P
Eget Foundation,13290952071,a,6.53,opticians optical goods eyeglasses,I
Adipiscing Mauris Associates,13297955415,a,6.53,florists nursery stock flowers,U
Sed Sem Egestas Institute,13376463476,a,6.99,digital goods books movies music,F
Fames Inc.,13401263605,c,1.89,florists nursery stock flowers,U
Magna Nec Institute,13447011295,b,4.33,furniture home furnishings equipment manufacturers except appliances,T
Amet Risus Foundation,13447019122,b,3.5,computers computer peripheral equipment software,J
Dapibus Id Blandit Institute,13461552885,a,5.68,stationery office printing writing paper,D
Duis LLP,13467303030,a,5.51,tent awning,X
Tempor Lorem Eget Incorporated,13473158710,a,6.95,books periodicals newspapers,G
Magna Praesent PC,13514558491,a,6.78,motor vehicle new parts,H
Ipsum LLP,13555086357,b,4.92,furniture home furnishings equipment manufacturers except appliances,T
Malesuada LLP,13565102775,c,2.31,gift card novelty souvenir,P
Dapibus Institute,13571059405,b,3.72,bicycle,Y
Odio Phasellus Associates,13606543798,b,4.68,health beauty spas,N
Quisque Tincidunt Pede Limited,13611382586,a,6.34,computer programming data processing integrated systems design,C
Eu Eleifend Incorporated,13631004035,b,3.54,music musical instruments pianos sheet music,M
Ac Mattis Limited,13663374533,a,5.87,watch clock jewelry repair,V
Fermentum Vel Mauris Institute,13747603419,c,1.86,equipment tool furniture appliance rent al leasing,S
Suspendisse Institute,13770392625,a,6.17,books periodicals newspapers,G
Lorem Auctor LLC,13803154777,c,2.28,music musical instruments pianos sheet music,M
Eget Massa Associates,13812221471,a,5.72,books periodicals newspapers,G
Pellentesque Habitant Morbi Associates,13822969155,a,6.58,furniture home furnishings equipment manufacturers except appliances,T
Egestas Limited,13823979247,a,6.6,hobby toy game,O
Neque Sed PC,13830448327,a,5.62,digital goods books movies music,F
Sit Amet Consectetuer PC,13839274306,a,6.0,computers computer peripheral equipment software,J
Pharetra Institute,13900607417,a,6.69,music musical instruments pianos sheet music,M
Mollis Nec Cursus LLP,13902377680,a,5.7,computers computer peripheral equipment software,J
Leo Vivamus Nibh Associates,13917288638,c,1.79,artist supply craft,E
Amet Massa Corporation,13942467372,b,4.15,florists nursery stock flowers,U
Nibh Donec Est Associates,13945345356,a,5.77,furniture home furnishings equipment manufacturers except appliances,T
Nulla In Inc.,13986396343,a,6.76,computers computer peripheral equipment software,J
Dapibus Gravida Limited,14004773634,a,5.95,antique repairs restoration,R
Morbi Tristique Senectus Limited,14040735315,c,2.3,hobby toy game,O
Ac PC,14042321810,b,4.42,computer programming data processing integrated systems design,C
Vel Mauris Integer Limited,14058755389,a,6.62,stationery office printing writing paper,D
Velit Pellentesque Associates,14081759429,b,4.71,books periodicals newspapers,G
Donec Institute,14089706307,b,3.33,computer programming data processing integrated systems design,C
Arcu Sed Inc.,14145464079,b,4.71,books periodicals newspapers,G
Dictum Magna Ltd,14148282104,a,6.12,artist supply craft,E
Mauris Elit Foundation,14246432250,a,6.61,artist supply craft,E
Etiam LLP,14278929774,a,6.25,artist supply craft,E
Nec Ltd,14314268730,c,2.04,artist supply craft,E
Vitae Orci Institute,14315147591,a,6.51,equipment tool furniture appliance rent al leasing,S
Sed Dolor Inc.,14316652139,a,6.54,stationery office printing writing paper,D
Euismod Est Associates,14336275166,d,0.67,tent awning,X
Bibendum Sed Est Foundation,14420598156,b,3.88,tent awning,X
Magna A Neque LLC,14430838529,c,2.03,cable satellite pay television radio,K
Purus Ac Incorporated,14443753481,a,6.44,tent awning,X
Eu Augue Corporation,14480530534,a,5.53,artist supply craft,E
Praesent Eu Associates,14492521225,c,2.5,tent awning,X
Nonummy Ipsum Non Inc.,14522297874,b,3.13,books periodicals newspapers,G
Duis At Inc.,14530561097,c,1.69,jewelry watch clock silverware,A
Commodo Auctor Ltd,14555045817,b,4.11,stationery office printing writing paper,D
Convallis Ligula Donec Inc.,14559784311,c,2.26,watch clock jewelry repair,V
Lacus Etiam Inc.,14570580767,c,2.8,artist supply craft,E
Elit Elit Institute,14583462783,a,5.81,health beauty spas,N
Cursus Vestibulum LLP,14602793938,b,3.87,florists nursery stock flowers,U
Fringilla Porttitor Vulputate PC,14616123867,a,5.64,antique repairs restoration,R
Dictum Proin PC,14626521979,c,2.81,art dealers galleries,L
Aliquet Molestie Tellus Company,14639241847,c,2.27,computers computer peripheral equipment software,J
Auctor Mauris Incorporated,14639489823,a,6.36,furniture home furnishings equipment manufacturers except appliances,T
Elementum Dui Associates,14666015798,a,6.98,music musical instruments pianos sheet music,M
Sollicitudin Adipiscing LLC,14675858680,b,3.83,stationery office printing writing paper,D
Dolor Nonummy Ac Corporation,14762929642,c,2.77,furniture home furnishings equipment manufacturers except appliances,T
In Tincidunt Congue Institute,14796275705,b,4.41,florists nursery stock flowers,U
Sem Consequat Consulting,14804580099,a,6.17,cable satellite pay television radio,K
Id Mollis PC,14809247463,a,6.22,music musical instruments pianos sheet music,M
Vehicula Pellentesque PC,14820207872,c,1.51,health beauty spas,N
Ultrices Limited,14878918457,a,5.87,digital goods books movies music,F
Nunc Ac LLP,14939466370,a,6.31,opticians optical goods eyeglasses,I
A Associates,14955471775,b,4.95,opticians optical goods eyeglasses,I
Lacinia At Inc.,14961279222,b,3.31,antique repairs restoration,R
Augue Ac Ipsum Associates,14965232967,a,5.87,music musical instruments pianos sheet music,M
Elit Erat Ltd,15010840269,a,6.79,hobby toy game,O
Odio Incorporated,15043504837,b,4.62,jewelry watch clock silverware,A
Tempus Scelerisque Lorem Incorporated,15061716544,a,5.73,digital goods books movies music,F
Parturient Institute,15069598461,b,4.07,gift card novelty souvenir,P
Vulputate Mauris Inc.,15070005651,c,2.07,shoe,B
Dignissim Tempor Arcu Ltd,15073534664,a,5.58,tent awning,X
Arcu Curabitur Limited,15093767253,d,1.17,digital goods books movies music,F
In Consectetuer Ltd,15115332331,a,5.64,florists nursery stock flowers,U
Integer LLP,15130143460,b,3.13,computers computer peripheral equipment software,J
Eu Dui Ltd,15135045968,a,6.52,lawn garden supply outlets including nurseries,W
Tempus Non Lacinia Inc.,15157368385,b,3.98,artist supply craft,E
Nascetur Ridiculus LLC,15253672771,b,3.26,gift card novelty souvenir,P
Nisi Limited,15269431008,a,6.48,gift card novelty souvenir,P
Ipsum Sodales Purus Company,15293888435,b,3.16,antique repairs restoration,R
Ornare Lectus Corp.,15297597516,c,1.76,hobby toy game,O
Porttitor Eros Ltd,15299889494,b,5.01,cable satellite pay television radio,K
Facilisis Suspendisse PC,15302620892,a,6.51,books periodicals newspapers,G
Metus Urna Convallis Ltd,15332026424,a,6.57,motor vehicle new parts,H
Eget Corp.,15347709593,b,4.86,music musical instruments pianos sheet music,M
Semper Pretium PC,15353137412,b,3.68,shoe,B
Ac Urna Ut PC,15359085759,b,4.77,shoe,B
Id Nunc Corporation,15367144876,a,5.95,health beauty spas,N
Euismod Corporation,15422452671,b,5.01,hobby toy game,O
Lectus A Corp.,15441635442,b,4.64,computer programming data processing integrated systems design,C
Pede Industries,15446964877,b,3.54,watch clock jewelry repair,V
Gravida Praesent LLP,15457638036,a,6.97,telecom,Q
In Mi PC,15489539819,a,5.69,bicycle,Y
Et Euismod Et Associates,15514494276,a,5.96,computers computer peripheral equipment software,J
Laoreet Libero LLC,15527324674,d,0.92,hobby toy game,O
Aliquam Eu LLP,15531408565,a,6.94,watch clock jewelry repair,V
Proin Company,15544195408,a,6.09,stationery office printing writing paper,D
Commodo Associates,15549624934,c,2.76,opticians optical goods eyeglasses,I
Morbi Accumsan Laoreet Industries,15560455575,b,4.08,digital goods books movies music,F
Euismod Ac Corporation,15577036924,b,3.57,gift card novelty souvenir,P
Consectetuer Cursus Company,15582356843,b,4.17,music musical instruments pianos sheet music,M
Eu Odio Phasellus Corp.,15582655078,a,6.77,gift card novelty souvenir,P
Congue Corporation,15612785317,a,6.99,furniture home furnishings equipment manufacturers except appliances,T
Ante Industries,15613631617,e,0.35,motor vehicle new parts,H
Velit Quisque Industries,15625166573,b,4.32,digital goods books movies music,F
Sed Orci Lobortis Corp.,15686458582,b,3.83,motor vehicle new parts,H
Aliquam Ornare Inc.,15700338102,a,5.73,furniture home furnishings equipment manufacturers except appliances,T
Faucibus Ut Nulla Ltd,15704713883,c,2.66,bicycle,Y
Rhoncus Foundation,15710208349,b,4.32,motor vehicle new parts,H
Integer Foundation,15790540567,a,5.87,computers computer peripheral equipment software,J
Sollicitudin LLC,15795298692,b,3.29,art dealers galleries,L
Ullamcorper Eu Euismod Corp.,15870230869,a,6.39,cable satellite pay television radio,K
Quam Quis Foundation,15896837295,b,3.86,books periodicals newspapers,G
Adipiscing Elit PC,15903176024,c,2.34,lawn garden supply outlets including nurseries,W
Nullam Nisl Institute,15912561882,b,3.72,shoe,B
Diam Proin Dolor Limited,15937271532,a,5.5,computer programming data processing integrated systems design,C
Proin Nisl Sem Corp.,15965199256,c,2.23,florists nursery stock flowers,U
Magna Nec Quam LLP,15971734188,a,6.7,furniture home furnishings equipment manufacturers except appliances,T
Ut Lacus Nulla Ltd,15998215727,a,6.91,stationery office printing writing paper,D
Suscipit Est Ac Corporation,16002602393,a,6.68,telecom,Q
Dignissim Magna Incorporated,16019856141,b,4.41,artist supply craft,E
Parturient Incorporated,16058191622,a,6.42,furniture home furnishings equipment manufacturers except appliances,T
Arcu Vivamus Incorporated,16096277862,a,5.81,music musical instruments pianos sheet music,M
Scelerisque Ltd,16104218122,b,4.29,motor vehicle new parts,H
Proin Non Inc.,16119907679,c,2.74,lawn garden supply outlets including nurseries,W
Enim Institute,16143938351,a,5.63,telecom,Q
Aliquet Sem Corp.,16156289887,c,3.02,jewelry watch clock silverware,A
Vehicula Pellentesque LLP,16165222459,b,3.99,computer programming data processing integrated systems design,C
Neque Sed Dictum Company,16174402479,a,6.12,cable satellite pay television radio,K
Odio Tristique Institute,16178821827,b,4.83,equipment tool furniture appliance rent al leasing,S
Et Magnis Dis Corporation,16199101110,a,5.6,digital goods books movies music,F
In At Pede LLC,16218917521,b,4.08,tent awning,X
In Nec Limited,16242364669,b,3.86,motor vehicle new parts,H
Phasellus Foundation,16248082282,a,6.8,health beauty spas,N
Urna LLP,16254418652,a,5.94,shoe,B
Tempus Non Foundation,16256895427,a,6.6,lawn garden supply outlets including nurseries,W
Vitae PC,16286338734,c,2.6,gift card novelty souvenir,P
A Neque LLC,16288327194,a,6.92,computers computer peripheral equipment software,J
Id Mollis Limited,16315736437,c,2.45,computer programming data processing integrated systems design,C
Curabitur LLP,16334864366,b,4.79,motor vehicle new parts,H
Et LLC,16361981729,b,4.78,equipment tool furniture appliance rent al leasing,S
Gravida Mauris PC,16377211887,d,1.32,jewelry watch clock silverware,A
Iaculis Aliquet Institute,16388802220,a,5.72,gift card novelty souvenir,P
Enim Nec Tempus Corporation,16394504716,a,5.72,cable satellite pay television radio,K
Et Malesuada Ltd,16404532871,a,5.6,books periodicals newspapers,G
Litora Torquent Corporation,16423528990,a,5.54,motor vehicle new parts,H
Aliquam Eros Company,16432242544,b,4.08,hobby toy game,O
In Sodales PC,16452078130,c,2.08,motor vehicle new parts,H
Et Malesuada Institute,16492082804,b,3.6,shoe,B
Sociosqu Corporation,16500351705,b,3.67,music musical instruments pianos sheet music,M
Pellentesque Massa Limited,16528286991,b,4.46,equipment tool furniture appliance rent al leasing,S
In LLP,16550028284,a,6.52,furniture home furnishings equipment manufacturers except appliances,T
Non Magna Nam PC,16570599421,a,6.74,digital goods books movies music,F
Laoreet Ipsum Ltd,16587082018,a,6.29,cable satellite pay television radio,K
Enim Non Foundation,16629601490,a,6.81,stationery office printing writing paper,D
Magna Associates,16644129035,b,5.03,artist supply craft,E
Risus Donec Limited,16676754730,a,5.7,music musical instruments pianos sheet music,M
Duis Elementum Corp.,16765088338,c,2.97,digital goods books movies music,F
Nonummy Corp.,16771252290,d,0.89,motor vehicle new parts,H
Elit Pretium Limited,16796167828,c,2.71,artist supply craft,E
Aliquet Diam LLC,16863641025,b,4.88,computers computer peripheral equipment software,J
Quis Lectus Nullam PC,16903677169,b,4.62,shoe,B
Aliquam LLP,16919425848,a,5.76,music musical instruments pianos sheet music,M
Eget Laoreet Inc.,16941018799,c,1.68,stationery office printing writing paper,D
Sodales Elit Erat LLC,16980639748,d,1.38,computer programming data processing integrated systems design,C
Posuere Cubilia Curae LLP,16993524298,c,2.25,bicycle,Y
Et Ltd,17009186054,a,6.09,computers computer peripheral equipment software,J
Sem Mollis Inc.,17028880379,a,6.26,lawn garden supply outlets including nurseries,W
Imperdiet Ullamcorper Inc.,17034043771,b,3.64,watch clock jewelry repair,V
Sit Amet Consectetuer Ltd,17055065679,b,3.71,computers computer peripheral equipment software,J
Dolor Sit Limited,17060583346,a,5.73,artist supply craft,E
Duis Corp.,17073441842,b,4.79,telecom,Q
Ultricies Ornare Elit Limited,17107204463,c,2.73,furniture home furnishings equipment manufacturers except appliances,T
Enim Etiam PC,17124978176,b,4.95,tent awning,X
Arcu Vestibulum Corp.,17158952809,a,6.19,hobby toy game,O
Morbi Metus Vivamus Industries,17175760321,a,6.33,hobby toy game,O
Semper Tellus LLP,17186910612,b,4.35,furniture home furnishings equipment manufacturers except appliances,T
Fusce Aliquet Limited,17189523131,c,1.59,stationery office printing writing paper,D
Volutpat Ornare Facilisis Associates,17208085375,b,3.21,art dealers galleries,L
Erat Foundation,17228439250,a,6.61,equipment tool furniture appliance rent al leasing,S
Volutpat Inc.,17266923036,a,5.71,equipment tool furniture appliance rent al leasing,S
Nullam Lobortis Limited,17291470169,b,3.24,stationery office printing writing paper,D
In Faucibus Incorporated,17294075449,d,0.67,cable satellite pay television radio,K
Et Rutrum Limited,17308640834,b,4.21,watch clock jewelry repair,V
Eget Metus In Corporation,17324645993,a,5.73,tent awning,X
Et Eros Institute,17335347560,b,3.35,antique repairs restoration,R
Nulla Integer Corp.,17386856164,c,2.49,health beauty spas,N
Vel Convallis Company,17429613585,c,2.07,computers computer peripheral equipment software,J
Metus Inc.,17431888602,b,4.27,shoe,B
Ac Fermentum Vel LLP,17435313552,c,2.48,stationery office printing writing paper,D
Quam A Company,17465489150,b,3.79,gift card novelty souvenir,P
Condimentum LLP,17469082744,c,1.86,antique repairs restoration,R
Sit Institute,17476208631,b,4.27,art dealers galleries,L
Posuere Cubilia Curae Corporation,17488304283,a,6.18,cable satellite pay television radio,K
Nonummy Ultricies Ornare Institute,17496459532,b,3.13,health beauty spas,N
Libero Nec Limited,17507773571,a,5.89,hobby toy game,O
Urna Convallis Foundation,17523010120,d,0.79,tent awning,X
Tristique Institute,17541067926,a,5.8,books periodicals newspapers,G
Id Incorporated,17559476022,a,6.54,stationery office printing writing paper,D
Per Conubia Corporation,17610103622,a,5.51,lawn garden supply outlets including nurseries,W
Id Magna Limited,17611272180,b,4.66,art dealers galleries,L
Nec Enim LLP,17614133590,c,2.93,music musical instruments pianos sheet music,M
Velit Eu Sem Consulting,17649195875,a,6.74,hobby toy game,O
Semper Incorporated,17663034743,b,3.31,digital goods books movies music,F
Faucibus Morbi Foundation,17678252870,c,2.07,watch clock jewelry repair,V
Ac Risus Associates,17684250719,b,4.13,health beauty spas,N
Neque In LLC,17701272704,b,3.78,hobby toy game,O
Auctor Quis Corp.,17739089622,b,5.01,cable satellite pay television radio,K
Orci PC,17758483290,c,2.62,stationery office printing writing paper,D
Sociosqu Company,17799557745,b,4.77,telecom,Q
Orci Sem LLP,17866919544,e,0.37,music musical instruments pianos sheet music,M
Fringilla LLP,17934773261,b,3.8,florists nursery stock flowers,U
Curae Industries,17945458645,b,4.21,shoe,B
A Dui Institute,17950989709,a,5.74,health beauty spas,N
Vitae Posuere Ltd,17965654828,b,4.96,computer programming data processing integrated systems design,C
Congue A Aliquet Ltd,17978936678,a,6.51,motor vehicle new parts,H
Lectus Justo Ltd,18064155652,b,3.72,tent awning,X
Lacus Etiam Institute,18112900644,b,4.19,computers computer peripheral equipment software,J
Morbi Sit Corporation,18120123446,b,3.79,shoe,B
Elit A PC,18126169589,c,1.62,florists nursery stock flowers,U
Ac Arcu Inc.,18135911314,c,1.63,artist supply craft,E
Ligula Nullam Inc.,18142272571,b,3.25,motor vehicle new parts,H
Vel Consulting,18146314043,b,4.41,health beauty spas,N
Nec Tellus Ltd,18158387243,c,2.03,health beauty spas,N
Varius Et Associates,18180785640,b,3.34,shoe,B
Quam Pellentesque Corporation,18253795725,c,1.57,computer programming data processing integrated systems design,C
Massa Rutrum LLP,18261886835,a,6.25,antique repairs restoration,R
Orci Adipiscing Non Corporation,18293836021,c,1.98,watch clock jewelry repair,V
Sollicitudin Orci Ltd,18303734841,a,6.61,health beauty spas,N
Mollis Lectus Consulting,18305506006,a,6.25,watch clock jewelry repair,V
Sed Tortor Limited,18306927906,b,3.69,stationery office printing writing paper,D
Nunc Corporation,18310531307,b,3.68,watch clock jewelry repair,V
Lectus Ante Incorporated,18313275661,a,6.69,cable satellite pay television radio,K
Sed Nunc LLC,18355044772,b,4.35,tent awning,X
Sagittis Semper Nam Limited,18376556220,d,1.33,hobby toy game,O
Pellentesque Incorporated,18416401655,a,6.94,stationery office printing writing paper,D
Ac Turpis Egestas Corp.,18440845368,a,5.77,digital goods books movies music,F
Pede Ultrices Corp.,18525353549,b,3.79,stationery office printing writing paper,D
Sem Nulla Interdum Corp.,18547244547,b,4.07,watch clock jewelry repair,V
